year,country,countryCode,gdp,population,militaryExpenditure
YR2016,China,CHN,11233,1378.7,1.93
YR2016,India,IND,2295,1324.5,2.51
YR2016,Indonesia,IDN,932,261.6,0.79
YR2016,"Korea, Rep.",KOR,1500,51.2,2.46
YR2016,Saudi Arabia,SAU,645,32.4,9.87
YR2016,Turkey,TUR,864,79.8,2.06
YR2016,United Kingdom,GBR,2694,65.6,1.81
YR2016,United States,USA,18707,322.9,3.42
YR2016,Brunei Darussalam,BRN,11,0.4,3.54
YR2016,Israel,ISR,319,8.5,5.48
YR2016,Kuwait,KWT,109,4,5.81
YR2016,Monaco,MCO,6,0,
YR2016,Oman,OMN,65,4.5,12.03
YR2016,Qatar,QAT,152,2.7,
YR2016,Singapore,SGP,319,5.6,3.19
YR2016,United Arab Emirates,ARE,357,9.4,
YR2016,Afghanistan,AFG,19,35.4,0.96
YR2016,Arab World,ARB,2463,404,6.15
YR2016,Bangladesh,BGD,221,158,1.37
YR2016,East Asia & Pacific,EAS,22658,2298.5,1.69
YR2016,"Egypt, Arab Rep.",EGY,333,94.4,1.67
YR2016,Europe & Central Asia,ECS,20378,910.9,1.68
YR2016,"Iran, Islamic Rep.",IRN,418,79.6,2.97
YR2016,Iraq,IRQ,175,36.6,3.5
YR2016,Jordan,JOR,39,9.6,4.58
YR2016,Lebanon,LBN,51,6.7,5.06
YR2016,Malaysia,MYS,301,30.7,1.41
YR2016,Middle East & North Africa,MEA,3150,433.6,5.59
YR2016,Pakistan,PAK,279,203.6,3.59
YR2016,Philippines,PHL,319,103.7,1.09
YR2016,South Africa,ZAF,296,56.2,1.08
YR2016,South Asia,SAS,2924,1771.2,2.5
YR2016,Sri Lanka,LKA,82,21.2,2.13
YR2016,Thailand,THA,413,69,1.62
YR2016,Bahrain,BHR,32,1.4,4.67
YR2016,"Hong Kong SAR, China",HKG,321,7.3,
YR2016,North America,NAC,20241,359.1,3.25
